trigger,name,body
answer to do we drive the truck for movi,"Answer to ""Do We Drive the Truck for Moving Helper Customers?""","No, I'm sorry. This is a service they used to let us offer, but they no longer do. We will always stand behind you and guide you while you back up, which is the most important part."
answer to insurance question,Answer to Insurance Question,"Moving companies are not required to have insurance and we choose not to. We are licensed of course and I personally insure everything but particle board and walls. We just don't want to pay for insurance as we feel it is a scam to give customers false security, as the insurance companies fight to not pay and the most they have to pay by law is .30-.60 a lb so it is thousands of dollars a year to protect customers hardly at all. We prefer to save that money and protect customers much more in the case of an accident. We can ask the movers to not wear company shirts and be ""your friends"" helping you move you which is what we are anyway at this point.

You as consumer can spend 1 couple hundred and get full replacement value insurance and we can direct you to where to purchasw this. Good luck to you."
labor only monthur price request for lab,"Labor Only Mon–Thur Price request for labor on a mon, tue, wed or thur","For 2 movers it is $399 for 3 hours and $115/hr pro-rated if over 3 hours minimum. With this option, we can also drive your rental truck for an additional $75. There are no additional fees except time of course and as long as no single item is over 225 lbs and no super delicate or antique items that need special packing. Thanks!"
oversize item question,Oversize Item Question,
labor only frisun price request for labo,Labor Only Fri/Sun Price. request for labor on a fri or sun,"For 2 movers it is $420 for 3 hours and $115/hr pro-rated if over 3 hours minimum. With this option, we can also drive your rental truck for an additional $75. There are no additional fees except time of course and as long as no single item is over 225 lbs and no super delicate or antique items that need special packing. Thanks!"
payment code,Wrong Paycode – Moving Date Email We will manually send these emails but if we ask for missing payment code email you will populate.,"Hi,

Just wanted to make sure everything went well with your move! We always want to be sure our customers are satisfied.

Unfortunately, the payment code the movers gave us (Payment Code) would not release the job. 

If you could please email support@movinghelp.com to request your payment code, or call 1-866-748-4110, we would really appreciate it.

Thank you!"
saturday full service,"Full Service Saturday Price Request for truck and moving labor/services on Saturday if they do not mention the size of move or they mention studio, 1 bedroom or 2 bedroom house or apt.","For our moving services and a 17-foot truck, it is $995. That includes: 2 pros, furniture pads, dolly, truck, gas, 2 dozen pads, up to 15 miles between locations, and up to 5 hours. $125/hr pro-rated to the quarter-hour if over 5-hour minimum. 

There are never any additional fees except of course time if over the minimum hours and a 17-foot truck is large enough, and as long as no single item is over 225 lbs and no super delicate, expensive, or antique items that need special packing and handling? If not then 2 moving pros will complete the mission for you, but if you need more manpower, a bigger truck, or have special circumstances just let us know and we will do our best to accommodate. 

Thanks and good luck with your move!"
friday sunday full service,"Full Service Fri/Sun Price Request for truck and moving labor/services on Saturday if they do not mention the size of move or they mention studio, 1 bedroom or 2 bedroom house or apt.","For our moving services and a 17-foot truck, it is $895. That includes: 2 pros, furniture pads, dolly, truck, gas, 2 dozen pads, up to 15 miles between locations, and up to 5 hours. $125/hr pro-rated to the quarter-hour if over 5-hour minimum. 

There are never any additional fees except of course time if over the minimum hours and a 17-foot truck is large enough, and as long as no single item is over 200 lbs and no super delicate, expensive, or antique items that need special packing and handling? If not then 2 moving pros will complete the mission for you, but if you need more manpower, a bigger truck, or have special circumstances just let us know and we will do our best to accommodate. 

Thanks and good luck with your move!"
weekday full service,"Full Service Weekday Price Request for truck and moving labor/services on Mon, Tue, Wed, Thur if they do not mention the size of move or they mention studio, 1 bedroom or 2 bedroom house or apt.","For our moving services and a 17-foot truck, it is $825. That includes: 2 pros, furniture pads, dolly, truck, gas, 2 dozen pads, up to 15 miles between locations, and up to 5 hours. $125/hr pro-rated to the quarter-hour if over 5-hour minimum. 

There are never any additional fees except of course time if over the minimum hours and a 17-foot truck is large enough, and as long as no single item is over 200 lbs and no super delicate, expensive, or antique items that need special packing and handling? If not then 2 moving pros will complete the mission for you, but if you need more manpower, a bigger truck, or have special circumstances just let us know and we will do our best to accommodate. 

Thanks and good luck with your move!"
booties,Answer to customer Wearing Booties/shoe protectors they request we wear carpet protecting shoe covers,"You can buy protective floor covering for both hard floors and carpet at most big box stores. Unfortunately, we can't wear booties because they violate our insurance policy. Since we are constantly carrying heavy items, we need proper traction, and booties can be very dangerous.

Plumbers and cable technicians can often wear them because much of their work is done on their hands and knees. We, however, are constantly relying on our balance while carrying heavy furniture, often on stairs. Booties, combined with stairs, heavy items, or both, create a serious safety risk and could literally result in someone being seriously injured."
scam,Sounds Like a Scam Response,"This sounds like a common scam. We do not accept large credit card payments from strangers, and we will never forward money to another person or company on a customer's behalf.

If we receive any unusual requests, we always research them online and check with others before taking any risks. Thank you for understanding."
follow up details,"MH Follow-up Email We have booked a moving helper job and sent them an email and they do not respond, send this follow up email","Hi {customer_name}, we are setting up your move, please let us know:

size of your moving truck
addresses and will we help you load, unload or both
inventory or at least a bedroom count and basic estimate so we can be prepared
any oversize or super delicate items, anything over 225 lbs
will you want help with breakdown or assembly
any info about stairs, elevators, or long walks
possible times we can help you, so we can get you on schedule :) 

Thank you. Amy (for Robin)"
saturday labor,Saturday Labor Prices,"For 2 movers it is $450 for 3 hours and $115/hr pro-rated if over 3 hours minimum. With this option, we can also drive your rental truck for an additional $75. There are no additional fees except time of course and as long as no single item is over 225 lbs and no super delicate or antique items that need special packing. Thanks!"
saturday truck and labor,"Saturday Truck and Labor Prices request for both labor and labor and truck anda moving labor/services quote fro Fri/Sun and they either do not mention the size of their move or it is studio, one or 2 bedroom apt or house","""For our moving services and a 17-foot truck, it is $995. That includes 2 pros, furniture pads, dolly, truck, gas, 2 dozen pads, up to 15 miles between locations, and up to 5 hours. $125/hr pro-rated to the quarter-hour if over the 5-hour minimum.

OR

Our smallest and most economical option is if you only need your truck loaded or unloaded or even for full moves, save money by getting a rental truck yourself (rental trucks for local moves usually cost $80-100 including furniture pads). We provide 2 pros, dolly, hand tools, and that option is only $450 for 3 hours and $115/hr pro-rated if over 3 hours minimum. 

With this option, we can also drive your rental truck for an additional $75.

For either the labor or the labor and truck service, there are never any additional fees except for time if over the minimum hours. As long as no single item is over 200 lbs and no super delicate, expensive, or antique items need special packing and handling, 2 moving pros will complete the mission for you. If you need more manpower or have special circumstances, let us know and we will do our best to accommodate.

Thanks and good luck with your move!"""
receipt,Asking for Receipt Response they request a reciept from a completed job,"I am away from the computer at the moment. Could you please let me know the total hours worked and the payment amount, including any tip? I'll be sure to get that to you.

— Robin"
truck and labor quote,"Truck and Labor Prices (No Date or Day of Week) they request quote for both labor only and truck and labor/moving services but do not sepcify day o fthe week adn either do not specify size of move or it is a studio, 1 or 2 bedroom house or apt.","The day of the week affects our pricing, so here are the different options. Please let us know once you have your moving date. Thanks!

 
Mon - Thu Prices:
For our moving services and a 17-foot truck, it is $825. This includes 2 pros, furniture pads, dolly, truck, gas, 2 dozen pads, up to 15 miles between locations, and up to 5 hours. $120/hr pro-rated to the quarter-hour if over the 5-hour minimum.

OR
If you only need a truck loaded or unloaded, you can save money by renting a truck and furniture pads yourself for around $90-100. We provide 2 pros, a dolly, and hand tools for $375 for 3 hours and $110/hr pro-rated if over the 3-hour minimum.

 

Fri/Sun Prices:
For our moving services and a 17-foot truck, it is $895. This includes 2 pros, furniture pads, dolly, truck, gas, 2 dozen pads, up to 15 miles between locations, and up to 5 hours. $125/hr pro-rated to the quarter-hour if over the 5-hour minimum.

OR
If you only need a truck loaded or unloaded, you can save money by renting a truck yourself (usually $90-100 including pads). We provide 2 pros, a dolly, and hand tools for $420 for 3 hours and $115/hr pro-rated if over the 3-hour minimum.

 
 
For our moving services and a 17-foot truck, it is $995. This includes 2 pros, furniture pads, dolly, truck, gas, 2 dozen pads, up to 15 miles between locations, and up to 5 hours. $125/hr pro-rated to the quarter-hour if over the 5-hour minimum.

OR
If you only need a truck loaded or unloaded, you can save money by renting a truck yourself (usually $80-100 including pads). We provide 2 pros, a dolly, and hand tools for $450 for 3 hours and $115/hr pro-rated if over the 3-hour minimum.


For either the labor or the labor and truck service, there are never any additional fees except for time if over the minimum hours. As long as no single item is over 225 lbs and no special packing is needed, 2 pros are sufficient. Let us know if you need more manpower or have special circumstances.

Thank you and good luck with your move!"
3 bedroom,Large Move Response. They request labo rand truck price for 3 bedroom or bigger move,"Hi {customer_name},

$1425 covers 3 Pro Movers, Furniture Pads, Equipment & 26 foot Box Truck for up to 6 hours & up to 15 miles between location. $170/hr prorated to the quarter hour if over 6 hours. If you have a lot of boxes and/or quite a bit of heavy furniture then I would recommend 4 men which would be just $1725 and $225/hr  if over 6 hours. Never any additional fees except for time if over the minimum hours and as long as no single item is over 225 lbs and no super delicate, expensive, or antique items needing special packing and handling, If you have any oversize or delicate items or special circumstances, let us know and we will do our best to advise and accommodate.
 
Thanks and good luck with your move!"
